XAUJPY Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/18/2025 11:00,674127.0,674604.0,673664.0,673879.0,-248.0,-0.04,
12/18/2025 10:00,674172.0,674646.0,673974.0,674119.0,-53.0,-0.01,
12/18/2025 09:00,674299.0,674640.0,673779.0,674154.0,-145.0,-0.02,
12/18/2025 08:00,675359.0,675528.0,673609.0,674304.0,-1055.0,-0.16,
12/18/2025 07:00,675703.0,676349.0,675093.0,675353.0,-350.0,-0.05,
12/18/2025 06:00,675154.7,675806.0,674658.3,675700.0,545.3,0.08,
12/18/2025 05:00,674588.0,675842.0,674417.0,675110.0,522.0,0.08,
12/18/2025 04:00,674909.0,675003.0,674014.0,674553.0,-356.0,-0.05,
12/18/2025 03:00,674977.0,675490.0,674536.0,674913.0,-64.0,-0.01,
12/18/2025 02:00,674682.0,675647.0,674384.0,674994.0,312.0,0.05,
12/18/2025 01:00,673906.0,674692.0,672702.0,674670.0,764.0,0.11,
12/18/2025 00:00,674637.0,675445.0,673736.0,673906.0,-731.0,-0.11,
12/17/2025 23:00,674752.0,675345.0,674521.0,674640.0,-112.0,-0.02,
12/17/2025 22:00,675431.5,675431.5,675431.5,675431.5,0.0,0.00,
12/17/2025 21:00,675884.0,676702.0,675251.0,675380.0,-504.0,-0.07,
12/17/2025 20:00,675033.0,676606.0,674668.0,675931.0,898.0,0.13,
12/17/2025 19:00,674852.0,675605.0,674297.0,675387.0,535.0,0.08,
12/17/2025 18:00,675361.0,675927.0,674914.0,675532.0,171.0,0.03,
12/17/2025 17:00,674306.0,674443.0,673345.0,674377.0,71.0,0.01,
12/17/2025 16:00,672914.0,673684.0,671814.0,671985.0,-929.0,-0.14,
12/17/2025 15:00,674534.0,675893.0,673543.0,674330.0,-204.0,-0.03,
12/17/2025 14:00,674919.0,675426.0,672269.0,675139.0,220.0,0.03,
12/17/2025 13:00,671305.0,674790.0,671055.0,674591.0,3286.0,0.49,
12/17/2025 12:00,671383.0,672315.0,671008.0,671333.0,-50.0,-0.01,
12/17/2025 11:00,671212.0,671852.0,671067.0,671372.0,160.0,0.02,
12/17/2025 10:00,671413.0,672133.0,669695.0,671208.0,-205.0,-0.03,
12/17/2025 09:00,671641.0,672312.0,671211.0,671432.0,-209.0,-0.03,
12/17/2025 08:00,671440.0,671836.0,670283.0,671664.0,224.0,0.03,
12/17/2025 07:00,672525.0,672537.0,671071.0,671450.0,-1075.0,-0.16,
12/17/2025 06:00,672366.0,673375.0,672010.0,672543.0,177.0,0.03,
